Center,Center_Code,Center_Name_x,Citizenship,Payment_Type,Is_Aggregate,Donor_Type,Transplant_Count,Payment_Category,Center_Name_y,City,Region,Urban
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicaid,False,Deceased Donor,112,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicaid,False,Living Donor,14,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare & Choice,False,Deceased Donor,903,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,376,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare Unspecified,False,Deceased Donor,245,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare & Choice,False,Living Donor,60,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,15,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Medicare Unspecified,False,Living Donor,44,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,All Primary Payers,False,Deceased Donor,2237,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,US/State Govt Agency,False,Deceased Donor,32,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,All Primary Payers,False,Living Donor,281,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,US/State Govt Agency,False,Living Donor,14,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Other government,False,Deceased Donor,12,Other_Government,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Other government,False,Living Donor,4,Other_Government,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Private insurance,False,Deceased Donor,330,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Private insurance,False,Living Donor,85,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Self,False,Living Donor,12,Self_Pay_Uninsured,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Unknown,False,Deceased Donor,226,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Unknown,False,Living Donor,33,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,All,Public insurance - Department of VA,False,Deceased Donor,1,VA,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Not_For_TX,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,2,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Not_For_TX,All Primary Payers,False,Deceased Donor,2,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Public insurance - Medicaid,False,Deceased Donor,11,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Public insurance - Medicaid,False,Living Donor,1,Medicaid,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Public insurance - Medicare & Choice,False,Deceased Donor,13,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Public insurance - Medicare FFS (Fee for Service),False,Deceased Donor,27,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Public insurance - Medicare FFS (Fee for Service),False,Living Donor,1,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,All Primary Payers,False,Deceased Donor,56,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,All Primary Payers,False,Living Donor,4,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Private insurance,False,Deceased Donor,5,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Private insurance,False,Living Donor,1,Private_Insurance,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Citizen_Resident,Unknown,False,Living Donor,1,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,Public insurance - Medicare & Choice,False,Deceased Donor,1,Medicare,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,All Primary Payers,False,Deceased Donor,2,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,All Primary Payers,False,Living Donor,12,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,Public insurance - Other government,False,Living Donor,1,Other_Government,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,Self,False,Living Donor,11,Self_Pay_Uninsured,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Non_Resident_Alien,Unknown,False,Deceased Donor,1,Unknown,Albert Einstein Medical Center,Philadelphia,Southeast,True
PAAE-TX1 Albert Einstein Medical Center,PAAE-TX1,Albert Einstein Medical Center,Not_Reported,All Primary Payers,False,Deceased Donor,2,Other,Albert Einstein Medical Center,Philadelphia,Southeast,True
